Year,Month,Nino34
1987, 10, 1.36
1987, 11, 1.29
1987, 12, 1.05
1988, 1, 0.69
1988, 2, 0.35
1988, 3, 0.29
1988, 4, -0.49
1988, 5, -1.05
1988, 6, -1.46
1988, 7, -1.54
1988, 8, -1.44
1988, 9, -1.33
1988, 10, -2.09
1988, 11, -2.18
1988, 12, -1.98
1989, 1, -1.95
1989, 2, -1.37
1989, 3, -1.33
1989, 4, -1.11
1989, 5, -0.80
1989, 6, -0.64
1989, 7, -0.47
1989, 8, -0.58
1989, 9, -0.38
1989, 10, -0.40
1989, 11, -0.30
1989, 12, -0.13
1990, 1, 0.02
1990, 2, 0.36
1990, 3, 0.20
1990, 4, 0.26
1990, 5, 0.32
1990, 6, 0.00
1990, 7, 0.15
1990, 8, 0.17
1990, 9, 0.12
1990, 10, 0.13
1990, 11, 0.08
1990, 12, 0.32
1991, 1, 0.51
1991, 2, 0.32
1991, 3, 0.10
1991, 4, 0.21
1991, 5, 0.44
1991, 6, 0.65
1991, 7, 0.62
1991, 8, 0.43
1991, 9, 0.22
1991, 10, 0.91
1991, 11, 1.14
1991, 12, 1.62
1992, 1, 1.61
1992, 2, 1.62
1992, 3, 1.50
1992, 4, 1.41
1992, 5, 1.27
1992, 6, 0.53
1992, 7, 0.27
1992, 8, -0.15
1992, 9, -0.14
1992, 10, -0.35
1992, 11, -0.14
1992, 12, 0.04
1993, 1, 0.28
1993, 2, 0.42
1993, 3, 0.47
1993, 4, 0.92
1993, 5, 0.93
1993, 6, 0.64
1993, 7, 0.33
1993, 8, 0.16
1993, 9, 0.26
1993, 10, 0.36
1993, 11, 0.28
1993, 12, 0.19
1994, 1, 0.03
1994, 2, -0.16
1994, 3, -0.06
1994, 4, 0.03
1994, 5, 0.14
1994, 6, 0.27
1994, 7, 0.16
1994, 8, 0.52
1994, 9, 0.40
1994, 10, 0.90
1994, 11, 1.14
1994, 12, 1.21
1995, 1, 1.10
1995, 2, 0.87
1995, 3, 0.49
1995, 4, 0.27
1995, 5, 0.03
1995, 6, 0.08
1995, 7, 0.03
1995, 8, -0.38
1995, 9, -0.57
1995, 10, -0.72
1995, 11, -0.78
1995, 12, -0.72
1996, 1, -0.65
1996, 2, -0.66
1996, 3, -0.48
1996, 4, -0.34
1996, 5, -0.40
1996, 6, -0.12
1996, 7, -0.14
1996, 8, -0.30
1996, 9, -0.34
1996, 10, -0.28
1996, 11, -0.30
1996, 12, -0.43
1997, 1, -0.43
1997, 2, -0.24
1997, 3, -0.06
1997, 4, 0.34
1997, 5, 0.87
1997, 6, 1.15
1997, 7, 1.60
1997, 8, 1.94
1997, 9, 2.10
1997, 10, 2.29
1997, 11, 2.42
1997, 12, 2.30
1998, 1, 2.42
1998, 2, 2.08
1998, 3, 1.49
1998, 4, 0.90
1998, 5, 0.68
1998, 6, -0.39
1998, 7, -0.73
1998, 8, -0.83
1998, 9, -0.82
1998, 10, -1.19
1998, 11, -1.23
1998, 12, -1.51
1999, 1, -1.53
1999, 2, -1.41
1999, 3, -0.92
1999, 4, -0.81
1999, 5, -0.87
1999, 6, -0.95
1999, 7, -0.84
1999, 8, -0.98
1999, 9, -0.84
1999, 10, -1.03
1999, 11, -1.41
1999, 12, -1.54
2000, 1, -1.79
2000, 2, -1.53
2000, 3, -1.26
2000, 4, -0.80
2000, 5, -0.80
2000, 6, -0.75
2000, 7, -0.57
2000, 8, -0.36
2000, 9, -0.39
2000, 10, -0.55
2000, 11, -0.75
2000, 12, -0.92
2001, 1, -0.88
2001, 2, -0.63
2001, 3, -0.48
2001, 4, -0.30
2001, 5, -0.30
2001, 6, -0.11
2001, 7, 0.01
